artist,song,album,album_type,release_date,artist_type,duration_ms,explicit,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,pop,dance,metal,rock,hip_hop,edm,r&b,country,emo,latin,k-pop,year
blink-182,All The Small Things,Enema Of The State,album,1999-01-01,artist,168000,False,8,0.439,0.891,0,-4.764,1,0.057,0.0122,0.0,0.547,0.695,148.599,4,1,0,0,1,0,0,0,0,0,0,0,1999
Wheatus,Teenage Dirtbag,Wheatus,album,1999-02-15,artist,241666,True,3,0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661,4,0,0,0,0,0,0,0,0,0,0,0,1999
Splender,I Think God Can Explain,Halfway Down The Sky,album,1999-05-18,artist,236760,False,6,0.48,0.729,10,-4.398,1,0.028,0.0129,0.0,0.0862,0.509,137.232,4,1,0,0,1,0,0,0,0,0,0,0,1999
Good Charlotte,Lifestyles of the Rich & Famous,Good Charlotte/The Young And The Hopeless,album,2000-01-01,artist,190173,False,3,0.62,0.93,1,-3.799,1,0.038,0.000437,0.0,0.0682,0.587,106.216,4,1,0,1,1,0,0,0,0,0,0,0,2000
Good Charlotte,The Anthem,Good Charlotte/The Young And The Hopeless,album,2000-01-01,artist,175093,False,2,0.495,0.938,1,-3.267,1,0.124,0.0079,0.0,0.14,0.881,177.754,4,1,0,1,1,0,0,0,0,0,0,0,2000
Sum 41,In Too Deep,"All Killer, No Filler",album,2001-01-01,artist,207093,False,7,0.566,0.835,9,-5.885,1,0.0504,0.000192,0.0,0.0581,0.749,116.041,4,1,0,1,1,0,0,0,0,0,0,0,2001
Jimmy Eat World,The Middle,Bleed American (Deluxe Edition),album,2001-01-01,artist,168253,False,3,0.634,0.886,2,-3.466,1,0.0517,0.0291,0.0,0.342,0.922,161.933,4,1,0,0,1,0,0,0,0,1,0,0,2001
Avril Lavigne,Complicated,Under My Skin/Let Go,compilation,2002-01-01,artist,244506,False,2,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,4,1,1,0,0,0,0,0,0,0,0,0,2002
Avril Lavigne,Sk8er Boi,Under My Skin/Let Go,compilation,2002-01-01,artist,204000,False,3,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,4,1,1,0,0,0,0,0,0,0,0,0,2002
Daniel Bedingfield,If You're Not The One,Gotta Get Thru This,album,2002-01-01,artist,257026,False,4,0.688,0.538,10,-7.608,1,0.0292,0.504,0.0,0.111,0.27,119.998,4,1,1,0,0,0,0,0,0,0,0,0,2002
Daniel Bedingfield,If You're Not The One - Acoustic Version,Gotta Get Thru This,album,2002-01-01,artist,257200,False,16,0.524,0.271,10,-8.863,1,0.0369,0.923,0.0,0.13,0.392,120.407,4,1,1,0,0,0,0,0,0,0,0,0,2002
Avril Lavigne,I'm with You,Under My Skin/Let Go,compilation,2002-01-01,artist,223066,False,4,0.457,0.406,9,-7.462,1,0.0291,0.08,0.0,0.117,0.208,151.95,3,1,1,0,0,0,0,0,0,0,0,0,2002
Busted,What I Go To School For,Busted,album,2002-01-01,artist,210066,False,1,0.554,0.881,9,-6.463,1,0.0292,0.000225,2.94e-05,0.114,0.507,107.023,4,1,1,0,1,0,0,0,0,0,0,0,2002
B2K,"Bump, Bump, Bump (feat. P. Diddy)",Playlist: The Very Best Of Omarion,compilation,2002-01-01,artist,279000,False,5,0.838,0.66,1,-6.388,0,0.195,0.107,0.0,0.115,0.888,95.493,4,1,1,0,0,1,0,1,0,0,0,0,2002
Simple Plan,Addicted,"No Pads, No Helmets...Just Balls",album,2002-03-19,artist,232066,False,7,0.522,0.751,1,-5.46,1,0.0435,0.000491,2.22e-06,0.158,0.605,139.51,3,1,0,0,1,0,0,0,0,0,0,0,2002
Simple Plan,I'd Do Anything,"No Pads, No Helmets...Just Balls",album,2002-03-19,artist,197640,False,1,0.395,0.917,8,-6.86,1,0.133,0.00143,0.0,0.261,0.563,169.088,4,1,0,0,1,0,0,0,0,0,0,0,2002
Simple Plan,I'm Just A Kid,"No Pads, No Helmets...Just Balls",album,2002-03-19,artist,198333,False,4,0.527,0.834,1,-5.531,1,0.0447,0.00107,0.000102,0.0993,0.422,110.065,4,1,0,0,1,0,0,0,0,0,0,0,2002
Maroon 5,This Love,Songs About Jane,album,2002-06-25,artist,206200,False,2,0.714,0.868,5,-4.596,0,0.0363,0.0551,0.0,0.0987,0.78,95.05,4,1,0,0,1,0,0,0,0,0,0,0,2002
Coldplay,The Scientist,A Rush of Blood to the Head,album,2002-08-08,artist,309600,False,4,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,4,1,0,0,0,0,0,0,0,0,0,0,2002
Good Charlotte,Girls & Boys,The Young and The Hopeless,album,2002-10-04,artist,183493,False,6,0.663,0.72,3,-5.497,1,0.0331,0.00212,0.0,0.358,0.608,135.342,4,1,0,1,1,0,0,0,0,0,0,0,2002
Yellowcard,Only One,Ocean Avenue,album,2003-01-01,artist,257399,False,6,0.477,0.907,1,-4.814,0,0.0899,8e-05,7.82e-05,0.149,0.304,81.291,4,1,0,0,1,0,0,0,0,1,0,0,2003
Rooney,Blueside,Rooney,album,2003-01-01,artist,196706,False,1,0.387,0.915,11,-2.568,1,0.0431,0.0465,4.38e-06,0.367,0.388,140.222,4,1,0,0,0,0,0,0,0,0,0,0,2003
Evanescence,Bring Me To Life,Fallen,album,2003-01-01,artist,237293,False,2,0.322,0.947,4,-3.173,0,0.12,0.00846,3.95e-06,0.238,0.269,189.994,4,0,0,1,0,0,0,0,0,0,0,0,2003
Outkast,Hey Ya!,The Way You Move / Hey Ya!,single,2003-01-01,artist,239240,False,3,0.715,0.97,0,-2.206,1,0.0648,0.0644,0.000156,0.205,0.963,79.504,4,0,0,0,0,1,0,0,0,0,0,0,2003
3 Doors Down,Here Without You,Here Without You,single,2003-01-01,artist,236920,False,1,0.544,0.55,10,-6.756,0,0.0248,0.0541,0.0,0.243,0.246,144.028,4,1,0,1,1,0,0,0,0,0,0,0,2003
Baby Bash,Suga Suga,Tha Smokin' Nephew,album,2003-01-01,artist,239026,False,1,0.662,0.748,5,-3.041,0,0.268,0.688,8.43e-06,0.0841,0.535,82.331,4,1,1,0,0,1,0,1,0,0,1,0,2003
Evanescence,My Immortal,Fallen,album,2003-01-01,artist,273360,False,12,0.251,0.333,9,-7.828,1,0.0336,0.748,1.22e-05,0.0847,0.0691,97.195,5,0,0,1,0,0,0,0,0,0,0,0,2003
Yellowcard,Ocean Avenue,Ocean Avenue,album,2003-01-01,artist,198266,False,3,0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,4,1,0,0,1,0,0,0,0,1,0,0,2003
Five For Fighting,Superman (It's Not Easy),Smallville: The Talon Mix,album,2003-02-25,artist,221173,False,4,0.518,0.474,0,-8.34,1,0.0287,0.322,0.0,0.1,0.164,106.512,4,1,0,0,1,0,0,0,0,0,0,0,2003
Beyoncé,Crazy In Love (feat. Jay-Z),Dangerously In Love,album,2003-03-10,artist,235933,False,1,0.664,0.758,2,-6.583,0,0.21,0.00238,0.0,0.0598,0.701,99.259,4,1,1,0,0,0,0,1,0,0,0,0,2003
Linkin Park,Numb,Meteora (Bonus Edition),album,2003-03-24,artist,185586,False,13,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,4,0,0,1,0,1,0,0,0,0,0,0,2003
Linkin Park,Breaking the Habit,Meteora (Bonus Edition),album,2003-03-24,artist,196906,False,9,0.579,0.849,4,-5.218,0,0.0303,0.108,0.0,0.0909,0.581,100.021,4,0,0,1,0,1,0,0,0,0,0,0,2003
Staind,So Far Away,14 Shades of Grey,album,2003-05-13,artist,243573,False,3,0.407,0.896,6,-2.935,1,0.063,0.012,0.0,0.196,0.156,138.697,3,0,0,1,1,1,0,0,0,0,0,0,2003
Michelle Branch,Are You Happy Now?,Hotel Paper,album,2003-06-24,artist,230760,False,2,0.484,0.827,8,-5.324,1,0.046,0.0039,0.00143,0.0876,0.717,179.566,4,1,1,0,1,0,0,0,0,0,0,0,2003
Dido,White Flag,White Flag,single,2003-08-28,artist,240040,False,1,0.514,0.539,5,-6.821,1,0.038,0.333,4.85e-06,0.0912,0.314,170.105,4,1,1,0,1,0,0,0,0,0,0,0,2003
Jet,Are You Gonna Be My Girl,Get Born,album,2003-09-15,artist,213800,False,2,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,4,0,0,0,1,0,0,0,0,0,0,0,2003
Story Of The Year,Until the Day I Die,Page Avenue (US Non-PA Version),album,2003-09-16,artist,235200,False,2,0.597,0.931,11,-4.591,0,0.0984,0.127,0.0,0.0504,0.534,92.003,4,1,0,1,1,0,0,0,0,0,0,0,2003
